image_url,source_caption,target_caption,lang_id
11465648---neon-coffee-shop-signboard-on-a-dark-brick-wall-vector-19374854.jpg,Panneau d'affichage du café Neon sur un mur de brique sombre,Neon coffee shop signboard on a dark brick wall,fr
11465648---neon-coffee-shop-signboard-on-a-dark-brick-wall-vector-19374854.jpg,Neon Coffee Shop Schild auf einer dunklen Ziegelwand,Neon coffee shop signboard on a dark brick wall,de
03119377---vanilla-milkshake-glass-bottles-gray-background-cookie-120733917.jpg,Vanilla milkshake dans des bouteilles en verre sur fond gris,Vanilla milkshake in glass bottles on a gray background,fr
03119377---vanilla-milkshake-glass-bottles-gray-background-cookie-120733917.jpg,Vanille Milchshake in Glasflaschen auf grauem Hintergrund,Vanilla milkshake in glass bottles on a gray background,de
07341107---offset_215073.jpg,Portrait d'une fille avec peinture de visage de papillon,Portrait of a girl with butterfly face painting,fr
07341107---offset_215073.jpg,Porträt eines Mädchens mit Schmetterling Gesicht Malerei,Portrait of a girl with butterfly face painting,de
11044064---812aaa5c-cb28-11e9-bd25-5e04013df229.jpg,Louer cet appartement de 2 chambres sur 0160 Tbilissi,Rent this 2 bed apartment on 0160 Tbilisi,fr
11044064---812aaa5c-cb28-11e9-bd25-5e04013df229.jpg,Mieten Sie diese 2-Bett-Wohnung an 0160 Tiflis,Rent this 2 bed apartment on 0160 Tbilisi,de
07068646---home-builders-gympie.jpg,Home Builders Gympie - New Homes Erbaut in,Home Builders Gympie - New Homes Built throughout the Gympie Region.,de
"05519653---ssrco,unisex_tshirt,womens,462445:542506a2a5,front,square_product,x600-bg,f8f8f8.u3.jpg",Gardez un saut en tête du T-shirt Breadline Slim Fit,Keep One Jump Ahead of The Breadline Slim Fit T-Shirt,fr
"05519653---ssrco,unisex_tshirt,womens,462445:542506a2a5,front,square_product,x600-bg,f8f8f8.u3.jpg",Halte einen Sprung vor dem Breadline Slim Fit T-Shirt,Keep One Jump Ahead of The Breadline Slim Fit T-Shirt,de
03519601---File_000-2.jpg,Craft Tipp: Malen Sie Glas oder Porzellan mit Kreidefarbe.,Craft Tip: Paint glass or porcelain with chalk paint. No priming necessary!,de
10402520---Monastery-of-the-Holy-Trinity-in-Meteora-Greece.jpg,"Monastère de la Sainte Trinité à Meteora, Grèce","Monastery of the Holy Trinity in Meteora, Greece",fr
10402520---Monastery-of-the-Holy-Trinity-in-Meteora-Greece.jpg,"Kloster der Heiligen Dreifaltigkeit in Meteora, Griechenland","Monastery of the Holy Trinity in Meteora, Greece",de
03735533---2_featured_home.jpg,Le tatouage électrique du crayon,The Electric Crayon Tattoo | The Electric Crayon Tattoo,fr
03735533---2_featured_home.jpg,Das elektrische Wachsmaler Tattoo Das elektrische Wachsmaler Tattoo,The Electric Crayon Tattoo | The Electric Crayon Tattoo,de
06650597---368755.jpg,Logo Mack Trucks - L'ancien logo <PERSON>,Mack Trucks Logo - The old <PERSON> logo | Mack Trucks,fr
06650597---368755.jpg,Mack Trucks Logo - Das alte <PERSON> Logo,Mack Trucks Logo - The old <PERSON> logo | Mack Trucks,de
