Unnamed: 0,language,page_url,image_url,page_title,section_title,hierarchical_section_title,caption_reference_description,caption_attribution_description,caption_alt_text_description,mime_type,original_height,original_width,is_main_image,attribution_passes_lang_id,page_changed_recently,context_page_description,context_section_description,caption_length,CLIP_Sim,translated_caption_alt_text,file_name
34,de,https://de.wikipedia.org/wiki/Yaquina_Bay_State_Recreation_Site,http://upload.wikimedia.org/wikipedia/commons/c/c9/Yaquina_Bay_Lighthouse.jpg,Yaquina Bay State Recreation Site,,Yaquina Bay State Recreation Site,,"English: The Yaquina Bay Lighthouse in Newport, Oregon.",Der Leuchtturm Yaquina Bay Lighthouse im östlichen Teil des State Parks (2009),image/jpeg,1932,2576,True,False,False,"Der Yaquina Bay State Recreation Site liegt westlich der Stadt Newport im Lincoln County in Oregon im Westen der USA, direkt an der Pazifikküste. Im Süden des 13 ha Parks befindet sich die Yaquina Bay, durch die der Yaquina River fließt, im Osten grenzt er an den U.S. Highway 101, der hier über die Yaquina Bay Bridge über die Bucht führt. Am nördlichen Parkrand befindet sich das Stadtviertel Nye Beach District von Newport, die Waterfront von Newport liegt in direkter Nachbarschaft.","Der Yaquina Bay State Recreation Site liegt westlich der Stadt Newport im Lincoln County in Oregon im Westen der USA, direkt an der Pazifikküste. Im Süden des 13 ha Parks befindet sich die Yaquina Bay, durch die der Yaquina River fließt, im Osten grenzt er an den U.S. Highway 101, der hier über die Yaquina Bay Bridge über die Bucht führt. Am nördlichen Parkrand befindet sich das Stadtviertel Nye Beach District von Newport, die Waterfront von Newport liegt in direkter Nachbarschaft.",12,29.03125,The Yaquina Bay Lighthouse in the eastern part of State Park (2009),0001.png
38,de,https://de.wikipedia.org/wiki/Frans_Banninck_Cocq,https://upload.wikimedia.org/wikipedia/commons/3/3b/Wedding_portrait_of_Frans_Banninck_Cocq%2C_Wybrand_de_Geest%2C_1630%2C_oil_on_canvas%2C_198%2C5_x_121_cm%2C_Museum_Het_Prinsenhof%2C_Delft.jpg,Frans Banninck Cocq,Leben,Frans Banninck Cocq / Leben,,"English: Wedding portrait of Frans Banninck Cocq, Wybrand de Geest, 1630, oil on canvas, 198,5 x 121 cm, Museum Het Prinsenhof, Delft","Hochzeitsporträts von Maria Overlander und Frans Banninck Cocq, Wybrand de Geest, 1630, Öl auf Leinwand, jeweils 198,5 × 121 cm, Museum Het Prinsenhof, Delft",image/jpeg,1196,756,False,True,True,"Frans Banninck Cocq, auch falsch Frans Banning Cocq oder Frans Benning Cocq geschrieben, Ritter von Sankt Michael, Heer von Purmerland und Ilpendam, war ein Amsterdamer Regent des Goldenen Zeitalters. Bekannt wurde er durch seine Darstellung als Hauptmann der Nachtwache von Rembrandt van Rijn.","Der junge Frans Banninck Cocq wuchs gegenüber dem heutigen Museum Het Rembrandthuis in jenem Teil der Sint Antoniesbreestraat auf, der später und bis heute Jodenbreestraat genannt wird. Mit Blick auf die angestrebte Karriere in der Stadtregierung studierte er an der Universität Poitiers Rechtswissenschaften.
Am 23. April 1630 heiratete er Maria Overlander (1603–1678), die Erbtochter des Ritters und Stadtregenten Volkert Overlander (Marias Schwester Geertruid Overlander, 1609–1634, ehelichte Cornelis de Graeff) Nach dem Tod seines Schwiegervaters führte er seit 1631 den Titel eines Herren von Purmerland und Ilpendam. Das Ehepaar lebte in dem um 1600 von Hendrick de Keyser für Hendrik Laurensz. Spiegel erbauten und 1609 von Volkert Overlander für 14.000 Gulden gekauften Haus De Dolphijn am Singel 140–142.
In der Amsterdamer Stadtverwaltung übte er seit 1632 eine Vielzahl von Ämtern aus. 1632, 1633 und 1636 wurde er Mitglied der Kommission für Eheangelegenheiten. 1634, 1635, 1641, 1643, 1644 und 1650 war er Mitglied der Kommission für Kleine Angelegenheiten (Commissaris van Kleine zaken). Von 1634 bis zu seinem Tod war er Stadtrat. 1637, 1640, 1642, 1645, 1646, 1648 und 1649 wurde er in das Schöffenkollegium gewählt. Von 1638 bis 1639 gehörte er der Kommission für die städtische Darlehenskasse an (Commissaris van de Bank van Leening). 1650 bis 1651 und 1653 bis 1654 wurde Banninck Cocq zum Bürgermeister gewählt. In diesem Amt arbeitete er eng mit seinem Schwager Cornelis de Graeff und dessen Anhänger Johan Huydecoper van Maarsseveen zusammen. 1652 übte er das Amt des Rechnungsprüfers der Stadtverwaltung aus und war zugleich Treuhänder des Waisenfonds.
1635 trat Banninck Cocq als Leutnant des ersten Bezirks in die Amsterdamer Bürgerwehr ein. Etwa von 1639 bis 1646 war er Hauptmann des zweiten Bezirks, in dieser Funktion wurde er von Rembrandt in der Nachtwache porträtiert. Von 1646 bis 1650 war Banninck Cocq Oberst der Bürgerwehr, diesen Rang musste er mit der Wahl zum Bürgermeister aufgeben. Von 1648 bis 1654 war Banninck Cocq als Gouverneur des Handboogdoelen, des Hauptquartiers der Bogenschützen, Mitglied eines vierköpfigen Führungsgremiums, dem die Verwaltung der Bogenschützengilde und ihres festen und beweglichen Vermögens oblag. 1648 wurde er als Ritter in den französischen Ordre de Saint-Michel aufgenommen.
Frans Banninck Cocq starb am Neujahrstag 1655 und wurde am 6. Januar 1655 in der Amsterdamer Oude Kerk bestattet.",24,25.09375,"Wedding portraits by Maria Overlander and Frans Banninck Cocq, Wybrand de Geest, 1630, oil on canvas, each 198,5 × 121 cm, Museum Het Prinsenhof, Delft",0002.png
26,de,https://de.wikipedia.org/wiki/Depeche_Mode/Diskografie,http://upload.wikimedia.org/wikipedia/commons/3/36/Wetten_dass_20130323_6660.jpg,Depeche Mode/Diskografie,,Depeche Mode/Diskografie,"Depeche Mode bei Wetten, dass..? im März 2013 in der Wiener Stadthalle","Wetten, dass..&#160;? am 23. März 2013 in der Stadthalle Wien The making of this document was supported by Wikimedia Austria. To see other files made with the support of Wikimedia Austria, please see the category Supported by Wikimedia Österreich. Deutsch&#160;| English&#160;| français&#160;| فارسی&#160;| magyar&#160;| Nederlands&#160;| svenska&#160;| +/− Depeche Mode","Depeche Mode bei Wetten, dass..? im März 2013 in der Wiener Stadthalle",image/jpeg,2353,4256,True,True,True,"Diese Diskografie ist eine Übersicht über die musikalischen Werke der englischen Gruppe Depeche Mode. Sie besteht aus 14 Studioalben, sechs Livealben, 17 Compilations, 58 Singles und neun Boxsets herausgegeben bei Mute Records, Sire Records, Reprise Records sowie Columbia Records. Hinzu kommen 58 Musikvideos, zwölf Musik-VHS/DVDs und sechs DVD-Singles.
Depeche Mode ist eine englische Synth-Rock- bzw. Synthie-Pop-Gruppe, die im Jahr 1980 in Basildon, Essex, England gegründet wurde. Die ursprüngliche Formation bildeten Dave Gahan, Martin Gore, Andrew Fletcher und Vince Clarke. Vince Clarke verließ die Band nach der Veröffentlichung des 1981 erschienenen Debütalbums und wurde durch Alan Wilder ersetzt, der von 1982 bis 1995 ein Mitglied der Gruppe war. Aktuell existiert die Gruppe als Trio mit Gahan, Gore und Fletcher.
Seit ihrem Debüt im Jahr 1981 konnte die Band 48 Songs sowohl in den britischen als auch den deutschen Charts platzieren. Nach Informationen der Plattenfirma Mute Records haben Depeche Mode weltweit über 100 Millionen Tonträger verkauft.","Diese Diskografie ist eine Übersicht über die musikalischen Werke der englischen Gruppe Depeche Mode. Sie besteht aus 14 Studioalben, sechs Livealben, 17 Compilations, 58 Singles und neun Boxsets herausgegeben bei Mute Records, Sire Records, Reprise Records sowie Columbia Records. Hinzu kommen 58 Musikvideos, zwölf Musik-VHS/DVDs (ohne Re-Releases) und sechs DVD-Singles.
Depeche Mode [dəˌpɛʃˈmoʊd] ist eine englische Synth-Rock- bzw. Synthie-Pop-Gruppe, die im Jahr 1980 in Basildon, Essex, England gegründet wurde. Die ursprüngliche Formation bildeten Dave Gahan (Gesang), Martin Gore (Keyboard, Gitarre, Gesang, Haupt-Songwriter nach 1981), Andrew Fletcher (Keyboard) und Vince Clarke (Keyboard, Haupt-Songwriter von 1980 bis 1981). Vince Clarke verließ die Band nach der Veröffentlichung des 1981 erschienenen Debütalbums und wurde durch Alan Wilder (Produktion, Keyboard, Schlagzeug) ersetzt, der von 1982 bis 1995 ein Mitglied der Gruppe war. Aktuell existiert die Gruppe als Trio mit Gahan, Gore und Fletcher.
Seit ihrem Debüt im Jahr 1981 konnte die Band 48 Songs sowohl in den britischen als auch den deutschen Charts platzieren. Nach Informationen der Plattenfirma Mute Records haben Depeche Mode weltweit über 100 Millionen Tonträger verkauft. Alleine in Deutschland verkauften sie bis heute über sechs Millionen Tonträger und sind damit eine der Interpreten mit den meisten verkauften Tonträgern in Deutschland. Das Konzertvideo Devotional von Anton Corbijn war bei den Grammy Awards 1995 in der Kategorie Bestes Musikvideo nominiert. Suffer Well, die dritte Single des Albums Playing the Angel wurde in der Kategorie Best Dance Recording bei den Grammy Awards 2007 nominiert. Im Jahr 2008 wurde der Depeche Mode Katalog im iTunes Store als The Complete Depeche Mode veröffentlicht. Am 3. Dezember 2009 wurde das Album Sounds of the Universe für einen Grammy Award in der Kategorie Best Alternative Album nominiert. Das Video zur Single Wrong erhielt eine weitere Nominierung in der Kategorie Best Short Form Music Video bei der 52. Verleihung der Grammy Awards.
Eine Besonderheit deutscher Depeche-Mode-Schallplatten in den 1980er-Jahren war, dass viele Ausgaben anstatt in schwarzem in farbigem Vinyl gepresst wurden.",12,26.171875,Depeche Mode is betting that... in March 2013 in the Vienna City Hall,0003.png
47,de,https://de.wikipedia.org/wiki/P%C3%B5hja-Tallinn_(Band),http://upload.wikimedia.org/wikipedia/commons/1/1e/P%C3%B5hja-Tallinn.IMG_7406.JPG,Põhja-Tallinn (Band),,Põhja-Tallinn (Band),,English: Estonian band Põhja-Tallinn performing in Solaris centre,"Põhja-Tallinn in der Sendung ""Ringvaate"" Foto: Ave Maria Mõistlik, 3. Feb. 2013",image/jpeg,2110,2814,True,True,False,"Põhja-Tallinn ist ein estnisches Hip-Hop-/Pop-Ensemble, benannt nach einem gleichnamigen Stadtteil Põhja-Tallinn, welches sich aus drei Sängern und einer Sängerin aus Pelgulinn, sowie einer dreiköpfigen Live-Band aus anderen Stadtteilen Tallinns zusammensetzt.","Põhja-Tallinn ist ein estnisches Hip-Hop-/Pop-Ensemble, benannt nach einem gleichnamigen Stadtteil Põhja-Tallinn, welches sich aus drei Sängern und einer Sängerin aus Pelgulinn, sowie einer dreiköpfigen Live-Band aus anderen Stadtteilen Tallinns zusammensetzt.",12,21.75,"Põhja-Tallinn in the show ""Ringvaate"" Photo: Ave Maria Mõistlik, 3 February 2013",0004.png
30,de,https://de.wikipedia.org/wiki/Erosion_(Geologie),http://upload.wikimedia.org/wikipedia/commons/1/1d/Hoggar13.jpg,Erosion (Geologie),Erosion auf anderen terrestrischen Planeten,Erosion (Geologie) / Erosion auf anderen terrestrischen Planeten,,Français&#160;: Hoggar,"Durch Winderosion geprägte Landschaft (Deflationsebene mit Steinpflaster) in der Ahaggar-Region in Algerien (links) und auf Chryse Planitia, Mars (rechts).",image/jpeg,1536,2048,False,False,True,"Die Erosion ist ein grundlegender Prozess im exogenen Teil des Gesteinskreislaufes. Er beinhaltet die Abtragung von mehr oder weniger stark verwitterten Gesteinen oder Lockersedimenten einschließlich der Böden. So erschafft die Erosion einerseits Geländeformen wie Berg und Tal, zerstört selbige jedoch schließlich bei anhaltendem Wirken vollständig, insofern ihr keine endogenen Prozesse, die eine Anhebung der Landoberfläche hervorrufen, entgegenwirken. Erosion ist das Gegenstück zur Sedimentation. Der Prozess, der zwischen Erosion und Sedimentation vermittelt, heißt Transport.
Bei Erosion wird im Wesentlichen zwischen linienhafter und flächenhafter Erosion unterschieden. Unter linienhafter Erosion versteht man die Eintiefung der Erdoberfläche durch abfließendes Wasser in kleinen, kurzlebigen Rinnsalen oder in Fließgewässern. Eine andere und derzeit auf der Erde weniger weit verbreitete Form linienhafter Erosion erfolgt durch Gebirgsgletscher. Die entstehenden Talformen sind V-förmig bei fluviatiler und U-förmig bei glazialer Erosion.
Hingegen erfolgt flächenhafte Erosion äolisch, marin, glazial durch Inlandeis und gelegentlich auch direkt durch Niederschläge.","Überall dort, wo ähnliche physikalische Voraussetzungen wie auf der Erde herrschen, können entsprechende Erosionsprozesse auch auf anderen Planeten stattfinden. Besonders gut bekannt ist dies vom Nachbarplaneten Mars, wo Erosionsrinnen beobachtet wurden, die eindeutig auf fließendes Wasser zurückgehen. Es handelt sich dort aber nicht um echte fluviatile Erosion, denn die Wasserströme, welche diese Rinnen formten, waren aufgrund der dünnen Atmosphäre des Mars sehr kurzlebig.
Die aktuell vermutlich einzige sowohl auf der Erde als auch dem Mars aktive Erosionsform ist Winderosion, wobei die Windgeschwindigkeiten, die eine ausreichende Scherspannung für den Materialtransport erzeugen können, wegen der geringen Dichte der Atmosphäre auf dem Mars um ein Vielfaches höher sein müssen als auf der Erde.",19,22.15625,"Landscape characterized by wind erosion (deflationary level with stone slabs) in the Ahaggar region of Algeria (left) and on Chryse Planitia, Mars (right).",0005.png
27,de,https://de.wikipedia.org/wiki/Liste_der_Kulturdenkmale_in_Hellerau,https://upload.wikimedia.org/wikipedia/commons/0/04/Volksschule_Hellerau_Heinrich_Tessenow_Weg28.JPG,Liste der Kulturdenkmale in Hellerau,Hellerau,Liste der Kulturdenkmale in Hellerau / Hellerau,,"Deutsch: 84. Grundschule Dresden, ehem. Volksschule Hellerau, Heinrich Tessenow Weg 28",Gartenstadt Hellerau: Volksschule Hellerau; 84. Oberschule; 84. Grundschule (Einzeldenkmal zu ID-Nr. 09210046),image/jpeg,2058,2112,False,True,True,"Die Liste der Kulturdenkmale in Hellerau umfasst sämtliche Kulturdenkmale der Dresdner Gemarkung Hellerau mit Rähnitz. Die Anmerkungen sind zu beachten.
Diese Liste ist eine Teilliste der Liste der Kulturdenkmale in Dresden.
Diese Liste ist eine Teilliste der Liste der Kulturdenkmale in Sachsen.", Karte mit allen Koordinaten des Abschnitts Hellerau: OSM,12,26.953125,Garden city of Hellerau: Folk School of Hellerau; 84th Primary School; 84th Primary School (individual ID number 09210046),0006.png
37,de,https://de.wikipedia.org/wiki/Liste_der_Kulturdenkmale_in_Rudelswalde,https://upload.wikimedia.org/wikipedia/commons/9/9a/RudelswaldeKirche.JPG,Liste der Kulturdenkmale in Rudelswalde,Rudelswalde,Liste der Kulturdenkmale in Rudelswalde / Rudelswalde,,"English: St. Catherine's Church in Rudelswalde (Crimmitschau, Zwickau district, Saxony) Deutsch: Kirche St. Katharinen in Rudelswalde (Stadt Crimmitschau)",Kirche und Gedenkstein für die Gefallenen des Ersten Weltkrieges,image/jpeg,2736,3648,False,True,False,Die Liste der Kulturdenkmale in Rudelswalde enthält die in der amtlichen Denkmalliste des Landesamtes für Denkmalpflege Sachsen ausgewiesenen Kulturdenkmale im Crimmitschauer Ortsteil Rudelswalde.,,9,22.09375,Church and Memorial Stone for the Victims of World War I,0007.png
40,de,https://de.wikipedia.org/wiki/Belagerung_von_Petersburg,https://upload.wikimedia.org/wikipedia/commons/a/aa/Dictatorcrop.jpg,Belagerung von Petersburg,,Belagerung von Petersburg,,"English: The ""Dictator"" siege mortar at Petersburg","Der Belagerungsmörser „Dictator“ vor Petersburg. Die Person im Vordergrund rechts ist BrigGen Henry J. Hunt, Artillerieführer der Potomac-Armee",image/jpeg,826,1250,False,True,True,"Die Belagerung von Petersburg war eine militärische Operation während des amerikanischen Sezessionskrieges, die vom 9. Juni 1864 bis 25. März 1865 östlich, südlich und westlich von Petersburg, Virginia stattfand. Der Begriff Belagerung von Petersburg hat sich eingebürgert, obwohl Petersburg weder von den gegnerischen Truppen umzingelt noch von jeglicher Versorgung abgeschnitten wurde. Der Feldzug bestand auch nicht ausschließlich aus Angriffen gegen Petersburg. Nach neun Monaten Grabenkrieg konnte die Nord-Virginia-Armee ihre überdehnten und ausgedünnten Linien nicht mehr halten, was zum Zusammenbruch der Front und zum Ausweichen während des anschließenden Appomattox-Feldzuges führte.
Nach Cold Harbor zeigte der Feldzug erneut, wie es fünfzig Jahre später in den Schützengräben der Westfront des Ersten Weltkrieges aussehen sollte.","Die Belagerung von Petersburg (auch Richmond-Petersburg-Feldzug) war eine militärische Operation während des amerikanischen Sezessionskrieges, die vom 9. Juni 1864 bis 25. März 1865 östlich, südlich und westlich von Petersburg, Virginia stattfand. Der Begriff Belagerung von Petersburg hat sich eingebürgert, obwohl Petersburg weder von den gegnerischen Truppen umzingelt noch von jeglicher Versorgung abgeschnitten wurde. Der Feldzug bestand auch nicht ausschließlich aus Angriffen gegen Petersburg. Nach neun Monaten Grabenkrieg konnte die Nord-Virginia-Armee ihre überdehnten und ausgedünnten Linien nicht mehr halten, was zum Zusammenbruch der Front und zum Ausweichen während des anschließenden Appomattox-Feldzuges führte.
Nach Cold Harbor zeigte der Feldzug erneut, wie es fünfzig Jahre später in den Schützengräben der Westfront des Ersten Weltkrieges aussehen sollte.",18,20.625,"In the foreground on the right is Brig. Gen. Henry J. Hunt, artillery commander of the Army of the Potomac.",0008.png
28,de,https://de.wikipedia.org/wiki/Sandra_Keith,https://upload.wikimedia.org/wikipedia/commons/e/e8/Sandra_Keith_Ostersund_2008.jpg,Sandra Keith,,Sandra Keith,,Canadian biathlete Sandra Keith during the World Championships in Östersund 2008.,Sandra Keith während der Biathlon-WM 2008 in Östersund.,image/jpeg,1705,1363,True,True,False,"Sandra Keith ist eine ehemalige kanadische Biathletin.
Sandra Keith ist eine Studentin aus Canmore mit einem Bachelor-Abschluss in Wirtschaft. Nach eigenen Angaben stand sie bereits mit zwei Jahren auf Langlaufskiern und betreibt seit 1992 Biathlon. Sie startet für die Rocky Mountain Racers und wird vom Nationaltrainer des kanadischen Frauenteams, Geret Coyne, zuvor von Roger Archambault, trainiert. Seit 1997 gehört sie zum kanadischen Nationalkader. Ihr internationales Debüt gab sie 1998 in Jericho bei den Juniorenweltmeisterschaften. Bestes Ergebnis war hier ein 29. Platz im Einzel. Ein Jahr später gab sie in Friedenweiler ihr Debüt im Europacup. Im Sprint wurde sie Elfte, in der Verfolgung Achte und mit der Staffel Zweite. Bis 2000 folgten weitere Auftritte bei Juniorenwelt- und Europameisterschaften, ohne aber herausragende Ergebnisse zu erreichen.
2001 gab Keith ihr Debüt in Biathlon-Weltcup. Bei einem Sprintrennen in Hochfilzen kam sie auf den 84. Platz.","Sandra Keith (* 11. Dezember 1980 in Ottawa) ist eine ehemalige kanadische Biathletin.
Sandra Keith ist eine Studentin aus Canmore mit einem Bachelor-Abschluss in Wirtschaft. Nach eigenen Angaben stand sie bereits mit zwei Jahren auf Langlaufskiern und  betreibt seit 1992 Biathlon. Sie startet für die Rocky Mountain Racers und wird vom Nationaltrainer des kanadischen Frauenteams, Geret Coyne, zuvor von Roger Archambault, trainiert. Seit 1997 gehört sie zum kanadischen Nationalkader. Ihr internationales Debüt gab sie 1998 in Jericho bei den Juniorenweltmeisterschaften. Bestes Ergebnis war hier ein 29. Platz im Einzel. Ein Jahr später gab sie in Friedenweiler ihr Debüt im Europacup. Im Sprint wurde sie Elfte, in der Verfolgung Achte und mit der Staffel Zweite. Bis 2000 folgten weitere Auftritte bei Juniorenwelt- und Europameisterschaften, ohne aber herausragende Ergebnisse zu erreichen. 
2001 gab Keith ihr Debüt in Biathlon-Weltcup. Bei einem Sprintrennen in Hochfilzen kam sie auf den 84. Platz. In den folgenden Jahren wechselte Keith immer wieder zwischen Welt- und Europacup. 2003 gewann sie beim Europacup in Ridnaun als erste Kanadierin seit Myriam Bédards Erfolgen in den 1980er- und 90er Jahren ein internationales Rennen außerhalb Nordamerikas. Danach nahm sie an ihren ersten Biathlon-Weltmeisterschaften teil. 2003 trat sie auch bei der Universiade an und erreichte als Zehnte Kanadas beste Platzierung bei diesem Wettbewerb. In Hochfilzen gewann sie 2005 als 26. in einem Einzel erstmals Weltcuppunkte. 2006 startete sie bei den Olympischen Spielen von Turin. Beste Platzierung war ein 42. Platz im Einzel. Im Sprint von Pokljuka erreichte sie in der Weltcupsaison 2007/2008 mit dem 11. Platz ihr bisher bestes Weltcupergebnis und war dabei die Schnellste aller fehlerfreien Schützinnen. 
Keith gewann 16 kanadische Meistertitel und wurde jeweils fünfmal Zweite und Dritte. Bei Nordamerikameisterschaften gewann sie vier Titel sowie zweimal Silber und einmal Bronze. Sie war bis zu dessen Tod im September 2019 mit dem norwegischen Biathleten Halvard Hanevold liiert. Um für ihren Sport Geld zu sammeln, nahm Keith am Bold Beautiful Biathlon-Kalender-Projekt teil.",8,25.21875,Sandra Keith during the 2008 Biathlon World Championships in Östersund.,0009.png
29,de,https://de.wikipedia.org/wiki/Liste_der_Stra%C3%9Fen_in_Berlin-Wilhelmsruh,https://upload.wikimedia.org/wikipedia/commons/4/48/WiRuh_%282%29_Kopenhagener_Stra%C3%9Fe.JPG,Liste der Straßen in Berlin-Wilhelmsruh,Übersicht der Straßen,Liste der Straßen in Berlin-Wilhelmsruh / Übersicht der Straßen,,"Deutsch: Kopenhagener Straße ist eine Straße in Berlin-Wilhelmsruh, die sich südlich nach Reinickendorf fortsetzt. Hier der Blick von Höhe S-Bahnhof nach Nord.",Kopenhagener Straße Blick von Höhe S-Bahnhof nach Nord,image/jpeg,2785,4288,False,True,True,Die Liste der Straßen in Berlin-Wilhelmsruh stellt die im Berliner Ortsteil Wilhelmsruh liegenden Straßen mit ihren historischen Bezügen dar. Gleichzeitig ist diese Zusammenstellung ein Teil der Listen aller Berliner Straßen und Plätze.,"Die nachfolgende Tabelle gibt eine Übersicht über die vorhandenen Straßen  im Ortsteil sowie einige dazugehörige Informationen.
Name/Lage: aktuelle Bezeichnung der Straße. Über den Link Lage kann die Straße  auf verschiedenen Kartendiensten angezeigt werden. Die Geoposition gibt die Lage der ungefähren Mitte der Straßenlänge an.
Im amtlichen Straßenverzeichnis nicht aufgeführte Verkehrswege sind mit * gekennzeichnet.
Ehemalige oder nicht mehr gültige Straßennamen sind kursiv gesetzt. Für bedeutende ehemalige Straßen oder historische Straßennamen ist gegebenenfalls eine gesonderte Liste vorhanden.
Länge/Maße in Metern:
Die in der Übersicht enthaltenen Längenangaben sind  gerundete Übersichtswerte, die in Google Earth mit dem dortigen Maßstab ermittelt wurden. Sie dienen Vergleichszwecken und werden, sofern amtliche Werte bekannt sind, ausgetauscht und gesondert gekennzeichnet.
Sofern die Straße auch in benachbarte Ortsteile weiterführt, gibt der Zusatz ‚im Ortsteil‘ an, wie lang der Straßenabschnitt innerhalb des Ortsteils dieses Artikels ist.
Namensherkunft: Ursprung oder Bezug des Namens.
Anmerkungen: weitere Informationen über anliegende Baudenkmale oder Institutionen, die Geschichte der Straße und historische Bezeichnungen.
Bild: Foto der Straße oder eines anliegenden Objektes.",8,21.6875,Copenhagen street view from S-Bahn station to the north,0010.png
